,roles,companies,locations,experience,skills
0,Service Desk Engineer,Wipro,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' navi mumbai', ' mysore/mysuru', ' bangalore/bengaluru', ' mumbai (all areas)', ' pune']",0-5 Yrs,"['communication skills', 'customer support', 'service desk', 'customer service', 'it helpdesk', 'voice process', 'it support', 'system support']"
1,Technical Support Engineer,Wipro,"['hyderabad/secunderabad', ' navi mumbai', ' pune', ' bangalore/bengaluru']",0-5 Yrs,"['installation', 'configuration', 'troubleshooting', 'customer support', 'technical support', 'vpn', 'mac', 'active directory']"
2,Mobility Compliance Senior Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",4-7 Yrs,"['business process', 'consulting', 'auditing', 'business operations', 'customer interaction', 'operational excellence', 'hp data protector', 'standard operating procedures']"
3,HCL Hiring Mulesoft Developer || PAN India || 3-Dec Virtual drive,HCLTech,"['hybrid - noida', ' kolkata', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",6-11 Yrs,"['mulesoft developer', 'xpath', 'mulesoft integration', 'xml', 'mule esb', 'j2ee', 'jmeter']"
4,E2E Solution Designer / Solution Architect/Business analyst (oss/bss),Tech Mahindra,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-9 Yrs,"['e2e solution design', 'solution architecting', 'oss / bss', 'telecom', 'component design', 'etom']"
5,Presales Architect,Tech Mahindra,"['kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",12-17 Yrs,"['presales consulting', 'siem', 'cyber security', 'managed security services', 'security operations', 'shared services']"
6,Associate Vice President - Product Management - Lending/LMS,Paytm,"['kolkata', ' mumbai', ' visakhapatnam', ' hyderabad/secunderabad', ' pune', ' chennai', ' ahmedabad', ' delhi / ncr', ' bangalore/bengaluru']",8-12 Yrs,"['product management', 'it product management', 'consumer internet', 'online product management']"
7,Vice President - Product Management - Consumer Product,Paytm,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr']",10-15 Yrs,"['product management', 'it product management', 'consumer internet', 'chief product officer', 'product development', 'online product management']"
8,Cloud HCM Technical Consultant,Oracle,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['hdl', 'hcm extracts']"
9,Delphi Developer (immediate joiners),Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",6-10 Yrs,"['delphi', 'communication', 'angular js', 'rest services', 'html', 'itil', 'javascript', 'sql']"
10,Instructional Designer,Accenture,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['instructional design', 'instructional designing', 'articulate', 'walkme', 'lectora', 'development', 'captivate', 'camtasia']"
11,HCL Technologies Hiring For SDET Role,HCLTech,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['selenium', 'sdet', 'api testing', 'team leading']"
12,HCL Technologies Hiring For SDET Role,HCLTech,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['selenium', 'sdet', 'automation testing', 'scrum', 'communication', 'jenkin', 'api testing', 'docker']"
13,HCL Technologies Hiring For Java Full Stack Developer,HCLTech,"['hybrid - noida', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",5-10 Yrs,"['spring boot', 'angular', 'java']"
14,IT Infrastructure Project Manager,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",8-13 Yrs,"['project management', 'sap implementation', 'it infrastructure', 'sap migration', 'sap', 'itil certified', 'pmp']"
15,Business Resiliency Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",3-8 Yrs,"['business process', 'analytical skills', 'crisis management', 'consulting', 'business continuity planning', 'excel', 'compliance', 'external audit']"
16,Business Operations Senior Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",8-11 Yrs,"['operational excellence', 'sales operations', 'consulting', 'business planning', 'business operations', 'remediation', 'key management', 'marketing communication']"
17,Contract Associate Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",5-10 Yrs,"['procurement', 'strategic planning', 'outsourcing', 'risk management', 'information technology', 'contract drafting', 'business leadership', 'project leadership']"
18,Java Microservices-3 To 10 years,Citiustech,"['hybrid - noida', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",3-8 Yrs,['java']
19,IT Service Desk Engineer,Wipro,"['kolkata', ' hyderabad/secunderabad', ' navi mumbai', ' mysore/mysuru', ' pune', ' chennai', ' bangalore/bengaluru']",0-4 Yrs,"['communication', 'ms applications', 'active directory', 'os ( windows', 'o365', 'vpn', 'troubleshooting skills', 'it helpdesk']"
